transA,transB,M,N,batch_count,K,alpha,beta,lda,ldb,ldc,input_type,output_type,compute_type,solution_index
T,T,14390,12045,1,12061,1,0,12061,12045,14390,bf16_r,f32_r,f32_r,606619906
T,N,5101,1429,1,11172,1,0,11172,11172,5101,bf16_r,f32_r,f32_r,606623188
N,N,450,283,1,15541,1,0,450,15541,450,f32_r,f32_r,f32_r,606605053
T,T,12554,10116,1,16095,1,0,16095,10116,12554,bf16_r,f32_r,f32_r,606619906
N,T,2295,914,1,21254,1,0,2295,914,2295,f16_r,f32_r,f32_r,606603100
N,N,805,211,1,11828,1,0,805,11828,805,f32_r,f32_r,f32_r,606627945
N,N,9435,1917,1,20889,1,0,9435,20889,9435,bf16_r,f32_r,f32_r,606630003
N,N,1733,26963,1,16277,1,0,1733,16277,1733,f16_r,f32_r,f32_r,606603423
T,T,9323,9507,1,16883,1,0,16883,9507,9323,bf16_r,f32_r,f32_r,606619906
N,T,1506,1447,1,28594,1,0,1506,1447,1506,f16_r,f32_r,f32_r,606622961
T,N,2261,1607,1,12648,1,0,12648,12648,2261,bf16_r,f32_r,f32_r,606603135
T,N,853,236,1,16398,1,0,16398,16398,853,f16_r,f32_r,f32_r,606627658
N,T,205,3601,1,15828,1,0,205,3601,205,f16_r,f32_r,f32_r,606603058
T,T,4856,20868,1,10532,1,0,10532,20868,4856,bf16_r,f32_r,f32_r,606619906
T,N,543,4667,1,18548,1,0,18548,18548,543,f32_r,f32_r,f32_r,606618426
N,N,945,1104,1,8209,1,0,945,8209,945,bf16_r,f32_r,f32_r,606605249
T,N,1336,1130,1,16130,1,0,16130,16130,1336,f16_r,f32_r,f32_r,606627696
T,T,8579,8444,1,10426,1,0,10426,8444,8579,bf16_r,f32_r,f32_r,606619906
N,T,4911,340,1,20094,1,0,4911,340,4911,bf16_r,f32_r,f32_r,606630812
N,N,6422,1009,1,21651,1,0,6422,21651,6422,bf16_r,f32_r,f32_r,606605349
N,N,587,1494,1,9791,1,0,587,9791,587,f16_r,f32_r,f32_r,606624205
T,T,10602,10145,1,8819,1,0,8819,10145,10602,bf16_r,f32_r,f32_r,606619906
T,T,22293,8622,1,12528,1,0,12528,8622,22293,bf16_r,f32_r,f32_r,606619906
T,T,6935,18625,1,9151,1,0,9151,18625,6935,bf16_r,f32_r,f32_r,606619906
N,T,1620,787,1,13188,1,0,1620,787,1620,f16_r,f32_r,f32_r,606622944
T,N,4881,2721,1,9784,1,0,9784,9784,4881,bf16_r,f32_r,f32_r,606623114
N,N,2074,27249,1,11717,1,0,2074,11717,2074,bf16_r,f32_r,f32_r,606629999
