M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
4773,23,323,fp32,N,T,362,-621283635,0.00621,0.00625,1.0071,4,1208,1068.8,0,1.0059
30,16,10436,fp32,N,T,451,-621292961,0.01106,0.01571,1.4212,4,452,173.9,0,0.9910
2247,12,2,bf16,T,T,20,-150,0.00685,0.01343,1.9620,4,602,17.1,0,1.0087
13723,543,7042,fp32,N,N,292,-621283890,1.29398,1.97961,1.5299,4,6,333.6,0,0.7580
11318,513,48,fp32,N,T,268,-621283645,0.01494,0.01964,1.3141,4,455,1706.4,0,0.7919
8014,3117,19888,fp16,T,T,22,-621291507,2.25411,2.39899,1.0643,4,5,240.7,0,0.8012
15286,2,214,bf16,N,T,27,-621290045,0.01993,0.02895,1.4529,4,302,334.5,0,1.0792
9962,2539,4647,fp32,N,T,312,-621283628,2.35288,2.46773,1.0488,4,5,141.8,0,0.7709
22380,1330,892,fp32,N,N,336,-621283964,0.57800,0.67427,1.1666,4,14,352.3,0,0.6604
599,15344,2546,bf16,N,T,32,-621290045,0.15243,0.16819,1.1034,4,50,773.8,0,0.6287
258,1493,721,fp16,T,T,22,-445,0.03753,0.04099,1.0923,4,224,108.3,0,0.9743
2057,3356,30514,fp16,N,T,33,-621295777,0.99748,1.30178,1.3051,4,8,358.9,0,0.6678
67,65,34,bf16,T,N,69,-607,0.00672,0.02563,3.8159,4,359,3.9,0,0.9654
12101,3339,8658,fp32,T,N,296,-621284354,7.06095,9.59819,1.3593,4,5,98.6,0,0.6848
13323,14805,11,fp32,T,N,266,-621284346,0.25477,0.62800,2.4649,4,16,3101.7,0,0.6475
5585,96,3816,fp16,T,T,22,-621291510,0.14530,0.14844,1.0217,4,57,313.2,0,0.9912
132,613,1976,fp16,T,N,77,-621296105,0.05403,0.09637,1.7838,4,92,60.5,0,0.9902
11430,390,23993,fp16,T,N,77,-621296106,0.73922,0.99240,1.3425,4,10,791.4,0,0.7434
22000,79,1411,fp32,T,T,66,-621283250,0.11826,0.21568,1.8238,4,44,1112.6,0,0.6697
9047,2802,8950,fp32,T,T,66,-621283236,4.82629,5.42398,1.1238,4,5,108.9,0,0.7447
1718,9655,637,fp16,T,T,22,-621291501,0.08769,0.10028,1.1437,4,89,921.9,0,0.6307
441,2354,870,fp16,T,N,75,-621296103,0.03194,0.05913,1.8515,4,147,282.3,0,1.2108
2,9793,47,fp16,N,N,17,-170,0.00574,0.02598,4.5296,4,367,174.2,0,1.0020
867,1735,1249,fp32,N,T,312,-621283530,0.05412,0.06569,1.2138,4,146,351.4,0,0.8044
20827,412,473,fp16,T,T,22,-621291503,0.05096,0.05491,1.0775,4,147,1067.8,0,1.0125
708,2015,2483,fp16,T,T,22,-621291496,0.10421,0.10428,1.0007,4,87,184.5,0,1.0961
27043,25,682,fp32,T,T,66,-621291435,0.03278,0.10617,3.2394,4,89,2335.5,0,0.8379
4,228,1017,fp32,T,N,332,-621284158,0.00753,0.00892,1.1846,4,915,125.9,0,0.9737
1099,9137,9,bf16,T,T,20,-621285683,0.02039,0.02938,1.4407,4,321,1978.6,0,0.9510
6425,5582,10222,bf16,N,T,27,-621290035,1.48666,1.50750,1.0140,4,7,261.6,0,0.8543
4,20928,1051,fp16,T,N,9,-383,0.05912,0.05982,1.0119,4,150,750.0,0,0.8901
2186,2857,129,bf16,T,T,20,-621285684,0.02312,0.02309,0.9989,4,359,1137.0,0,1.1798
69,18082,48,fp16,N,N,17,-170,0.01230,0.01587,1.2900,4,511,547.3,0,0.9886
53,59,66,bf16,T,T,20,-150,0.00654,0.01604,2.4525,4,508,4.2,0,0.9970
11,6,70,bf16,N,T,27,-349,0.00658,0.02622,3.9847,4,352,0.4,0,0.9942
2710,692,103,bf16,T,T,20,-621285685,0.01849,0.02554,1.3811,4,325,443.5,0,1.0112
