M,N,K,dtype,opA,opB,beta,rb_def_ms,rb_best_ms,lt_h0_ms,lt_besth_ms,lt_all_ms,tf_rb_def,tf_rb_best,tf_lt_h0,tf_lt_besth,tf_lt_all,n_rb_sol,n_lt_heur,n_lt_all,n_lt_ok,nrot,reps,clk_drift
2835,14795,1658,fp16,T,T,0,0.47778,0.50240,1.59162,0.37252,0.33779,291.11,276.84,87.39,373.36,411.75,22,256,1024,3,4,20,0.6748
4995,2737,283,fp16,T,T,0,0.05689,0.04993,0.10938,0.04489,0.05193,136.01,154.96,70.75,172.39,149.00,22,256,1024,3,4,172,0.7933
4133,172,366,bf16,T,T,0,0.03381,0.02779,0.00957,0.00864,0.00864,15.39,18.72,54.39,60.25,60.22,20,256,1024,3,4,251,0.9553
149,667,1268,fp16,N,N,0,0.07485,0.03985,0.00954,0.00894,0.01002,3.37,6.32,26.42,28.19,25.15,22,256,1024,3,4,126,1.0074
18648,5848,1077,fp32,N,N,0,2.35717,2.30220,2.27886,2.21436,2.23096,99.65,102.03,103.08,106.08,105.29,292,256,1024,3,4,5,0.6767
1,4196,6469,fp16,T,T,0,0.31101,0.01940,0.05944,0.01789,0.01759,0.17,2.80,0.91,3.03,3.09,5,51,51,3,4,32,0.9306
340,629,1530,fp32,N,N,0,0.01729,0.01568,0.02010,0.01895,0.01688,37.84,41.74,32.56,34.53,38.77,292,256,1024,3,4,515,0.8525
72,16044,266,bf16,N,T,0,0.03405,0.02265,0.00905,0.00877,0.00890,18.05,27.13,67.91,70.07,69.05,27,256,889,3,4,232,0.9234
287,131,320,fp16,T,N,0,0.02889,0.01505,0.00718,0.00717,0.00723,0.83,1.60,3.35,3.36,3.33,71,256,1024,3,4,321,0.9949
2013,11247,27,fp32,N,T,0,0.04827,0.04806,0.07451,0.05159,0.05046,25.33,25.44,16.41,23.70,24.23,204,256,1024,3,4,178,0.8268
180,9,52,fp16,T,N,0,0.01917,0.00692,0.00728,0.00731,0.00732,0.01,0.02,0.02,0.02,0.02,71,256,1024,3,4,470,0.9701
5463,46,29499,bf16,N,N,0,1.16684,1.05127,0.14405,0.13293,0.12649,12.71,14.10,102.92,111.53,117.21,23,256,940,3,4,9,0.8101
13108,22,31,fp16,N,T,0,0.02422,0.00694,0.00736,0.00731,0.00734,0.74,2.58,2.43,2.45,2.44,27,256,889,3,4,325,0.9925
928,33,2299,fp16,N,N,0,0.11351,0.06744,0.01063,0.00903,0.01006,1.24,2.09,13.24,15.60,14.00,22,256,1024,3,4,83,1.0100
4347,84,177,fp16,T,T,0,0.02415,0.00982,0.00706,0.00734,0.00719,5.35,13.16,18.30,17.61,17.98,22,256,1024,3,4,329,1.0107
